Wall time,Step,Value
1715606435.1198614,108,0.23692429065704346
1715606435.3808422,173,0.16268613934516907
1715606435.6750414,245,0.25042426586151123
1715606435.7356122,260,0.13057535886764526
1715606436.3579974,403,0.12009993195533752
1715606436.5887542,466,0.0939374566078186
1715606436.8239343,511,0.13319571316242218
1715606436.9178138,539,0.14685951173305511
1715606437.0240278,557,0.13598191738128662
1715606437.1629078,597,0.12020730972290039
1715606437.4394474,659,0.14784514904022217
1715606437.8854837,765,0.09634114801883698
1715606438.0697987,805,0.14380861818790436
1715606438.3224094,867,0.14660462737083435
1715606438.390469,887,0.23995792865753174
1715606438.9087617,1016,0.1352654993534088
1715606438.9951923,1027,0.006086182780563831
1715606439.0318694,1038,0.12493592500686646
1715606439.3755755,1126,0.1084483340382576
1715606439.4029384,1133,0.20635032653808594
1715606439.5178022,1165,0.20807583630084991
1715606439.6175687,1177,0.17593738436698914
1715606439.649659,1185,0.055899374186992645
1715606439.9312294,1253,0.16669300198554993
1715606439.9381492,1255,0.13092175126075745
1715606439.997723,1272,0.166583850979805
1715606440.4121974,1377,0.10120859742164612
1715606440.6024714,1418,0.2962225377559662
1715606440.74795,1459,0.143601655960083
1715606440.9122534,1495,0.15440671145915985
1715606440.9674652,1511,0.10661183297634125
1715606440.977269,1514,0.06472411751747131
1715606441.1017494,1549,0.185141921043396
1715606441.2041736,1566,0.14392729103565216
1715606441.6223054,1671,0.10642823576927185
1715606442.7020164,1941,0.14869780838489532
1715606442.8228986,1961,0.1157161146402359
1715606442.8262718,1962,0.16810043156147003
1715606444.5081706,2360,0.08431059867143631
1715606444.8551579,2437,0.2367706298828125
1715606444.8759072,2442,0.1494610458612442
1715606444.9485595,2463,0.17810197174549103
1715606444.9585426,2466,0.15475502610206604
1715606445.1371493,2504,0.18392178416252136
1715606445.4044027,2578,0.097418412566185
1715606445.6554472,2636,0.15232881903648376
1715606445.682379,2644,0.17311081290245056
1715606445.8648593,2685,0.20490339398384094
1715606445.8967137,2694,0.1637466549873352
1715606445.9497433,2709,0.19205406308174133
1715606445.9805129,2718,0.22302083671092987
1715606446.2015092,2769,0.2128126621246338
1715606446.259137,2786,0.26548272371292114
1715606446.507816,2845,0.18763703107833862
1715606447.0373306,2974,0.1334364414215088
1715606447.4531076,3084,0.13637633621692657
1715606447.5267265,3105,0.16119056940078735
1715606447.530103,3106,0.17308202385902405
1715606447.718505,3146,0.2215016782283783
1715606447.9083278,3200,0.2500147819519043
1715606448.0334284,3218,0.19360488653182983
1715606448.1148632,3242,0.07579243928194046
1715606448.1976292,3266,0.12011434137821198
1715606448.2085047,3269,0.19926992058753967
1715606448.5639393,3357,0.1250128298997879
1715606448.7851038,3405,0.1432512402534485
1715606449.131572,3484,0.12389965355396271
1715606449.1912582,3501,0.1930065155029297
1715606449.3273413,3527,0.10138117522001266
1715606449.4621708,3567,0.21895384788513184
1715606449.6268227,3601,0.21871742606163025
1715606449.6795485,3617,0.2183891236782074
1715606449.8299706,3655,0.10850625485181808
1715606449.877982,3669,0.2288665622472763
1715606449.8879268,3672,0.17761147022247314
1715606450.0819252,3713,0.0160633884370327
1715606450.3716347,3783,0.09919473528862
1715606450.6524272,3849,0.18603746592998505
1715606450.9457452,3916,0.08724617958068848
1715606451.3305144,4013,0.11171294748783112
1715606451.3670988,4024,0.08570705354213715
1715606451.708957,4110,0.1792793720960617
1715606451.7517722,4122,0.1891217976808548
1715606452.0059774,4182,0.19566643238067627
1715606452.0426621,4193,0.23600739240646362
1715606452.205584,4228,0.08858618885278702
1715606452.5530436,4319,0.16472488641738892
1715606452.5856788,4329,0.1281636655330658
1715606453.435372,4540,0.2646731436252594
1715606453.519631,4565,0.11690497398376465
1715606453.8579187,4650,0.16903036832809448
1715606454.014559,4691,0.15119075775146484
1715606454.607472,4833,0.15013805031776428
1715606454.620648,4837,0.13560369610786438
1715606454.8351312,4883,0.2965131998062134
1715606455.6810915,5080,0.12870529294013977
1715606455.7712755,5089,0.19792573153972626
1715606455.7794647,5091,0.13988611102104187
1715606455.9221394,5133,0.10703426599502563
